School,Latitude,Longitude
"Francis Parker (San Diego,CA)",32.7712591,-117.1767334
"Milton Academy (Hingham,MA)",42.2565605,-71.0699912
"West Monroe (West Monroe,LA)",32.5184775,-92.1476353
"Lone Peak (Alpine,UT)",40.4537766,-111.7558227
"Carlos Beltran Baseball Academy (Florida,PR)",18.3657297,-66.5519987
"The First Academy (orlando,FL)",28.5148061,-81.4243396
"Canterbury School (Fort Myers,FL)",26.5552501,-81.8903732
"Lawton Chiles (Tallahassee,FL)",30.5706336,-84.2110359
"Mundelein (Mundelein,IL)",42.263079,-88.0039653
"Roosevelt (Des Moines,IA)",41.5926971,-93.6790358
"Rockwall-Heath (Rockwall,TX)",32.8365147,-96.474987
"Clements School (Sugar Land,TX)",29.5984434,-95.6225521
"Park Vista Community (Lake Worth,FL)",26.5593742,-80.1449777
"TNXL Academy (Longwood,Fl)",28.7030519,-81.3384011
"South Anchorage (Anchorage,AK)",61.1000213,-149.8099268
"Colegio Hector Urdaneta (Ceiba,PR)",18.2742402,-65.6419084
"Millville (Millville,NJ)",39.3981259,-75.1079708
"Locust Grove (Locust Grove,OK)",33.3459495,-84.109083
"Immaculata (Somerville,NJ)",40.5804884,-74.6181748
"T.R. Miller (Brewton,AL)",31.1381152,-87.0698308
"Bassett (Bassett,VA)",36.7593036,-79.9903195
"Suwannee (Live Oak,FL)",30.2879574,-82.9904923
"Seven Lakes (Katy,TX)",29.7074544,-95.8080054
"Heritage (Colleyville,TX)",32.8809603,-97.155012
"PJ Education School (Carolina,PR)",18.3982867,-65.9571323
"Puerto Rico Baseball Academy (Gurabo,PR)",18.2495333,-65.9823082
"Tracy (Tracy,CA)",37.7165721,-121.4347536
"Winter Haven (Winter Haven,FL)",28.0716632,-81.702197
"Palm Desert (Palm Desert,CA)",33.722096,-116.3840079
"IMG Academy (Bradenton,FL)",27.4989278,-82.5748194
"Curtis (University Place,WA)",47.2215556,-122.550773
"Waukesha West (Waukesha,WI)",42.9681198,-88.2794162
"Loretto (Loretto,TN)",35.0778595,-87.439743
"Eau Gallie (Melbourne,FL)",28.1291097,-80.6302721
"Central Heights (Nacogdoches,TX)",31.7011419,-94.6707791
"Magnolia (Magnolia,TX)",30.2093794,-95.7507815
"Henry B. Plant (Tampa,FL)",27.9463553,-82.4640404
"Orange Lutheran (Orange,CA)",33.8252956,-117.8281979
"Mountain Ridge (Glendale,AZ)",33.6898728,-112.2042181
"Green Hope (Cary,NC)",35.8049364,-78.8672018
"Sandra Day O'Connor (Glendale,AZ)",33.717254,-112.136518
"Santiago (Corona,CA)",33.8362583,-117.5459157
"Cartersville (Cartersville,GA)",34.1650972,-84.7999382
"Arnold O. Beckman (Irvine,CA)",33.7171051,-117.7806351
"Merritt Island (Merritt Island,FL)",28.3180688,-80.6659842
"St. Joan of Arc (Mississauga,ON)",43.5527104,-79.7461022
"Brandon (Brandon,MS)",32.3546679,-89.3985283
"Roncalli (Indianapolis,IN)",39.6906073,-86.108044
"Forsyth Central (Cumming,GA)",34.215987,-84.1416606
"Fivay (Hudson,FL)",28.3341034,-82.6598678
"North Broward Prep (Coconut Creek,FL)",26.3264542,-80.1824127
"The Beacon School (Beacon,NY)",40.7613016,-73.9960457
"Bedford (Bedford,NH)",42.9372265,-71.5195364
"Grayson (Loganville,GA)",33.861246,-83.9297936
"Jensen Beach (Jensen Beach,FL)",27.2544906,-80.2297697
"Kempner (Sugar Land,TX)",29.6207048,-95.6340318
"Robinson (Robinson,TX)",31.9685988,-99.9018131
"Encinal (Alameda,CA)",37.7715368,-122.2897494
"Jesse C Carson (China Grove,NC)",35.562875,-80.545192
"St. Luke's Episcopal (Mobile,AL)",30.6613631,-88.1662405
"Hattiesburg (Hattiesburg,MS)",31.2999787,-89.2833959
"Basha (Chandler,AZ)",33.2209357,-111.7590658
"Mount Carmel (Chicago,IL)",41.7780323,-87.5893179
"Seneca (Tabernacle,NJ)",39.8573487,-74.717578
"Juanita (Kirkland,WA)",47.705867,-122.2115687
"Brookwood (Snellville,GA)",33.8836398,-84.0400713
"Hilo (Hilo,HI)",19.7216023,-155.084887
"Hart (Newhall,CA)",34.3845283,-118.537107
"Raymond S. Kellis (Glendale,AZ)",33.5462442,-112.2527456
"Timber Creek (Fort Worth,TX)",32.9497155,-97.2873176
"Karns (Knoxville,TN)",35.9787718,-84.1329595
"Mission Hills (San Marcos,CA)",33.1476333,-117.1463254
"Doral Academy (Doral,FL)",25.7950484,-80.3539278
"William Penn Charter (Philadelphia,PA)",40.0221551,-75.1868407
"Highlands (Fort Thomas,KY)",39.0839642,-84.4497563
"Forney (Forney,TX)",32.7481845,-96.4719312
"Clear Falls (League City,TX)",29.5092391,-95.0245707
"Redan (Stone Mountain,GA)",33.7599526,-84.1915397
"Western International (Detroit,MI)",42.31917,-83.0915862
"Lake Norman (Lake Norman,NC)",35.5019795,-80.918003
"Nettleton (Jonesboro,AR)",35.8190881,-90.6501325
"Tattnall Square Academy (Macon,GA)",32.8916356,-83.7207753
"Leonides Morales Rodriguez (Lajas,PR)",18.0498875,-67.0569965
"Westlake (Atlanta,GA)",33.7580841,-84.4408972
"King (Tampa,FL)",28.0037901,-82.4526299
"Junipero Serra (San Mateo,CA)",37.5460058,-122.3172819
"Williamsville East (Williamsville,NY)",42.963947,-78.7378091
"Broken Arrow (Broken Arrow,OK)",36.060949,-95.7974526
"Calvary Christian (Clearwater,FL)",27.9667535,-82.7103776
"South Gwinnett (Snellville,GA)",33.8543367,-84.0069031
"Pinole Valley (Pinole,CA)",37.9815544,-122.2692956
"Queen Creek (Queen Creek,AZ)",33.2630961,-111.6108365
"Pascagoula (Pascagoula,MS)",30.360698,-88.5553108
"Passaic (Passaic,NJ)",40.8567662,-74.1284764
"Walton (Marietta,GA)",33.9892669,-84.440469
"Madison Central (Madison,MS)",32.467882,-90.154754
"Colleyville Heritage (Colleyville,TX)",32.8876453,-97.1032492
"Hagerty (Oviedo,FL)",28.625119,-81.1779838
"Blessed Trinity Catholic (Roswell,GA)",34.055562,-84.390835
"Lake Travis (Austin,TX)",30.4205138,-97.9102647
"Eastlake (Chula Vista,CA)",32.6556653,-116.976412
"Lakeside (Nine Mile,WA)",47.8089523,-117.5583779
"Cary Grove (Cary,IL)",42.2211763,-88.2417583
"Georgia Premier Academy (Statesboro,GA)",32.4774818,-81.8123358
"New Hanover (Wilmington,NC)",34.2103894,-77.8868117
"Delbarton (Morristown,NJ)",40.7882833,-74.5312312
"Cypress Ranch (Cypress,TX)",29.986891,-95.6801656
"John T. Morgan Academy (Selma,AL)",32.3898673,-87.0763963
"Collins Hill (Suwanee,GA)",34.015679,-84.0200822
"Federal Way (Federal Way,WA)",47.3223221,-122.3126222
"St. Thomas Catholic (Houston,TX)",29.6689325,-95.4943307
"Freedom (Oakley,CA)",37.9706893,-121.718718
"Deering (Portland,ME)",43.6759147,-70.2983825
"McArthur (Hollywood,FL)",26.0107417,-80.2166875
"Redondo Union (Redondo Beach,CA)",33.8471175,-118.3840853
"Churchill (San Antonio,TX)",29.5496968,-98.5140637
"Providence School (Jacksonville,FL)",30.2979221,-81.4576568
"Lakewood Ranch (Bradenton,FL)",27.4117037,-82.4285151
"Abbey Park (Oakville,ON)",43.4365665,-79.7359694
"Seminole (Sanford,FL)",28.7804002,-81.2842285
"Benedictine (Richmond,VA)",37.5805987,-77.674697
"Harriton (Bryn Mawr,PA)",40.0355094,-75.3122487
"Stockbridge (Stockbridge,GA)",33.5442781,-84.2338093
"Iolani (Honolulu,HI)",21.2855956,-157.8253249
"Ayala (Chino Hills,CA)",33.9945799,-117.7315209
"Pembroke Hill (Kansas City,MO)",39.0348862,-94.6068388
"Loyd Star Attendance Center (Lincoln,MS)",31.6288921,-90.5550358
"Santa Cruz (Santa Cruz,CA)",36.9741171,-122.0307963
"Pleasant Valley (Chico,CA)",39.7607544,-121.8169426
"Americas (El Paso,TX)",31.7361862,-106.2786937
"Aliso Niguel (Aliso Viejo,CA)",33.5617208,-117.7193706
"St. Joseph (Trumbull,CT)",41.261607,-73.1648125
"St. Rita of Cascia (Chicago,IL)",41.7793382,-87.6915851
"Horseheads (Horseheads,NY)",42.167019,-76.8205119
"Junipero Serra (Gardena,CA)",33.8964745,-118.3166277
"Mobile Christian (Mobile,AL)",30.6433006,-88.1790087
"Pace (Pace,FL)",30.6039192,-87.155025
"Vauxhall (Crowsnest pass,AB)",49.6061343,-114.520425
"Terry Sanford (Fayetteville,NC)",35.0647888,-78.9153306
"Sahuarita (Sahuarita,AZ)",31.9599414,-110.9532131
"Homewood-Flossmoor (Flossmoor,IL)",41.5428123,-87.6847684
"Clovis (Clovis,CA)",36.7969574,-119.651652
"International Baseball Academy (Ceiba,PR)",18.2625127,-65.6302024
"Heritage Hall (Oklahoma City,OK)",35.591122,-97.542737
"Jesuit College Prep (Dallas,TX)",32.9178584,-96.8190903
"East Catholic (Manchester,CT)",41.7834041,-72.5593082
"Red Land (Lewisberry,PA)",40.1770087,-76.8478251
"Winder-Barrow (Winder,GA)",34.0049635,-83.7281997
"North Cobb (Kennesaw,GA)",34.0401304,-84.6485983
"Calvary Christian Academy (Fort Lauderdale,FL)",26.2041338,-80.1752303
"Wake Forest-Rolesville (Wake Forest,NC)",35.9232073,-78.4574996
"Southridge (Huntingburg,IN)",38.275616,-86.9632546
"Thousand Oaks (Thousand Oaks,CA)",34.1705609,-118.8375937
"Mainland Regional (Linwood,NJ)",39.3412613,-74.5756196
"Severna Park (Severna Park,MD)",39.070388,-76.5452409
"Torrey Pines (San Diego,CA)",32.8917728,-117.2404079
"UMS Wright Prep (Mobile,AL)",30.6912747,-88.1052138
"Carroll (Fort Pierce,FL)",27.4467056,-80.3256056
"Baylor School (Chattanooga,TN)",35.0862658,-85.3373862
"Ozaukee (Fredonia,WI)",43.4705552,-87.9506465
"Bishop Eustace Preparatory School (Pennsauken,NJ)",39.9307656,-75.065047
"Friendswood (Friendswood,TX)",29.5375528,-95.2115541
"Blue Valley Southwest (Leawood,KS)",38.809212,-94.7258297
"Trinity (Louisville,KY)",38.2470956,-85.668713
"Arecibo Baseball Academy (Bajadero,PR)",18.4358903,-66.6822897
"Dexter (Brookline,MA)",42.3081273,-71.1376268
"James Madison (Vienna,VA)",38.894481,-77.2765419
"Desert Mountain (Scottsdale,AZ)",33.8608826,-111.8628205
"Malvern Preparatory School (Malvern,PA)",40.027949,-75.511656
"North Oconee (Bogart,GA)",33.8772452,-83.523445
"Barbers Hill (Mount Belvieu,TX)",29.8166014,-94.8313257
"Central Florida Elev8 (Delray Beach,FL)",26.4318726,-80.0759815
"Park Hill (Kansas City,MO)",39.2790917,-94.6682919
"East Pennsboro Area (Enola,PA)",40.2916943,-76.9354979
"Reedy (Frisco,TX)",33.1314475,-96.864418
"Bishop Gorman (Las Vegas,NV)",36.0818382,-115.3180831
"Pensacola Catholic (Pensacola,FL)",30.421309,-87.2169149
"Hamilton (Chandler,AZ)",33.252997,-111.8434998
"Lakeland Christian (Lakeland,FL)",28.0248494,-81.9697027
"Parkview (Lilburn,GA)",33.8598083,-84.1140666
"Gilman School (Baltimore,MD)",39.3602438,-76.6340677
"U-32 (Montpelier,VT)",44.2443932,-72.5266234
"Wahlert (Dubuque,IA)",42.5184535,-90.7067386
"Red Bank Catholic (Red Bank,NJ)",40.3483745,-74.0653983
"Trenton (Trenton,MI)",42.1458591,-83.1970918
"Dorman (Roebuck,SC)",34.8490454,-81.9711273
"Silverado (Las Vegas,NV)",36.2217095,-115.0915965
"Bonita Vista (Chula Vista,CA)",32.6459088,-116.9995559
"Tampa Prep (Tampa,FL)",27.9511688,-82.4670933
"Regis Jesuit (Aurora,CO)",39.600443,-104.799334
"Mosley (Panama City,FL)",30.2113445,-85.6407318
"Aledo (Aledo,TX)",32.6966074,-97.6040733
"Stoneman Douglas (Parkland,FL)",26.3042962,-80.2675814
"McKinney-Boyd (McKinney,TX)",33.2028615,-96.6789455
"Heritage (Brentwood,CA)",37.9221739,-121.7547838
"The Wesleyan School (Norcross,GA)",33.9712756,-84.2164971
"Mays (Atlanta,GA)",33.742333,-84.5035107
"Buford (Buford,GA)",34.0880291,-83.9885517
"Riverside-Brookfield (Brookfield,IL)",41.8285598,-87.8307379
"North Allegheny (Wexford,PA)",40.591955,-80.0758425
"Oswego East (Oswego,IL)",41.7000434,-88.2805407
"East Forsyth (Kernersville,NC)",36.1198588,-80.0736533
"Bainbridge (Bainbridge,GA)",30.8908588,-84.5744735
"McQueen (Reno,NV)",39.5352031,-119.8839522
"Liberty (Bakersfield,CA)",35.2919196,-119.0838099
"Liberty Union (Baltimore,OH)",39.8496042,-82.6267345
"Toutle Lake (Toutle,WA)",46.3221659,-122.4467962
"Palo Alto (Palo Alto,CA)",37.4418834,-122.1430195
"Boerne (Boerne,TX)",29.7946641,-98.7319703
"Gonzaga College (Washington,DC)",38.902164,-77.0094935
"Hammond (Columbia,SC)",33.964151,-80.9658661
"Liberty (Liberty,MO)",37.9642529,-91.8318334
"Temecula Valley (Temecula,CA)",33.493925,-117.1470458
"Northern Collegiate (Sarnia,ON)",42.999162,-82.37407
"Orchard Lake St Mary's Prep (Orchard Lake,MI)",42.5962573,-83.3577356
"Troy (Troy,NY)",42.726935,-73.671731
"Rock Hill (Frisco,TX)",33.2154829,-96.888343
"Passaic County Technical Institute (Wayne,NJ)",40.9303431,-74.2033627
"Yucaipa (Yucaipa,CA)",34.0338762,-117.0729548
"Calvert Hall (Baltimore,MD)",39.3915607,-76.5810533
"Woodward Academy (College Park,GA)",33.6628164,-84.4419799
"Eastside (Taylors,SC)",34.8938078,-82.3005219
"Hanover (Mechanicsville,VA)",37.6087561,-77.3733139
"Kennedy Catholic (Somers,NY)",41.3028076,-73.6888048
"P27 Sports Academy (Lexington,SC)",34.0016913,-81.2094091
"Nogales (Nogales,AZ)",31.3403775,-110.9342532
"Bill Crothers (Unionville,ON)",43.8563587,-79.312471
"Capistrano Valley (Mission Viejo,CA)",33.5415426,-117.6697936
"Fuquay Varina (Fuquay Varina,NC)",35.5720166,-78.7471649
"Randleman (Randleman,NC)",35.8179143,-79.8030873
University of Louisville,38.2122761,-85.7585023
Vanderbilt University,36.1447034,-86.8026551
University of Virginia,38.0335529,-78.5079772
"University of California, Irvine",33.6423814,-117.8416747
Missouri State University,37.2005546,-93.2806806
University of North Carolina,35.9049122,-79.0469134
University of South Carolina,33.9937575,-81.0299186
University of Kentucky,38.0306511,-84.5039697
University of Florida,29.6436325,-82.3549302
University of Oregon,44.0448302,-123.0726055
University of Missouri,38.9403808,-92.3277375
University of Houston,29.7199489,-95.3422334
State College of Florida Manatee-Sarasota,27.336465,-82.5310117
University of Central Florida,28.6024274,-81.2000599
Louisiana State University,30.4132579,-91.1800023
Oregon State University,44.5637806,-123.2794442
University of South Florida,28.0587031,-82.4138539
Mississippi State University,33.4551742,-88.7943766
Wake Forest University,36.1354887,-80.2792887
Cal Poly,35.3050053,-120.6624942
"University of California, Los Angeles (UCLA)",34.0699182,-118.4438495
North Carolina State University,35.7850744,-78.6812824
Texas A&M University,30.6186806,-96.3364655
Chipola College,30.7874134,-85.232581
University of Texas,30.2849185,-97.7340567
Loyola Marymount University,33.9709541,-118.4170134
University of Wisconsin-Milwaukee,43.078263,-87.8819686
Xavier University,39.1498581,-84.4740668
University of Arizona,32.2318851,-110.9501094
Florida State University,30.4418778,-84.2984889
Cal State Fullerton,33.8823476,-117.8851033
Furman University,34.9274741,-82.4400679
University of New Mexico,35.0843187,-106.6197812
Iowa Western Community College,41.2729005,-95.8009623
Grayson County College,33.7050974,-96.6341045
University of Arkansas,36.0686895,-94.1748471
Gonzaga University,47.6658548,-117.4021153
University of Washington,47.655548,-122.3032
Stanford University,37.4274745,-122.169719
Jacksonville University,30.3516278,-81.6035285
University of San Diego,32.7721681,-117.1888625
University of North Carolina-Charlotte,35.3070929,-80.735164
College of William and Mary,37.2709753,-76.7162466
Oral Roberts University,36.0508093,-95.9528284
Auburn University,32.5933574,-85.4951663
Clemson University,34.673407,-82.8367119
St. Mary's College of California,37.8408837,-122.1089374
Santa Fe Community College,35.6050125,-105.9982209
St. Johns River State College,30.1174778,-81.775042
Lipscomb University,36.1046431,-86.7988728
University of Notre Dame,41.7055716,-86.2353388
Dallas Baptist University,32.7095466,-96.9466776
Palm Beach State College,26.8408943,-80.0792512
University of Tampa,27.9468757,-82.4672266
Kennesaw State University,34.0234337,-84.6154897
University of Maryland,38.9869183,-76.9425543
Southeastern Louisiana University,30.5178932,-90.4710715
Webster University,38.5893479,-90.3439695
Mount Olive College,35.20782,-78.0710887
Saint Joseph's University,39.9951217,-75.2399328
University of California-Riverside,33.9737055,-117.3280644
Rice University,29.7173941,-95.4018312
Long Beach State University,33.7838235,-118.1140904
University of Utah,40.7649368,-111.8421021
Texas Christian University,32.7078531,-97.3628041
Kent State University,41.1497945,-81.3433159
Oklahoma State University,36.1270236,-97.0737222
Morehead State University,38.18943,-83.4310035
Old Dominion University,36.8853217,-76.3058786
University of Tennessee,35.9544013,-83.9294564
University of Southern Mississippi,31.3298668,-89.3334535
Arkansas State University,35.8430861,-90.6748589
University of Iowa,41.6627078,-91.5549771
Augustana College SD,43.5224294,-96.7393636
University of Michigan,42.277145,-83.7382071
Sam Houston State University,30.7135813,-95.547276
New Mexico State University,32.2792887,-106.7491391
University of Connecticut,41.8067,-72.2522
Seton Hall University,40.7430841,-74.246082
Central Arizona College,32.9577551,-111.6521557
Rider University,40.2811583,-74.7407633
Villanova University,40.0368926,-75.3425785
Georgia Southern University,32.4196512,-81.7842919
Lincoln Land Community College,39.721199,-89.6092787
Mercer County Community College,40.2554014,-74.6502696
University of Minnesota,44.97399,-93.2277285
University of Alabama-Birmingham,33.5020323,-86.8057495
Texas Tech University,33.5842591,-101.8782822
Wabash Valley College,38.4279423,-87.7790661
University at Buffalo,43.0008093,-78.7889697
Cal State Northridge,34.2406756,-118.5300196
Monroe Community College,43.1013,77.6104
Fresno State University,36.8136777,-119.7461767
Western Carolina University,35.3090108,-83.1863612
University of Illinois-Chicago,41.8685636,-87.6484497
Faulkner University,32.3848554,-86.2182661
College of Idaho,43.6536737,-116.6767711
Lenoir–Rhyne University,35.7414291,-81.3262171
The University of South Carolina Aiken,33.5746994,-81.7739334
University of Kansas,38.9543439,-95.2557961
University of South Alabama,30.6959406,-88.184236
Central Oklahoma College,35.6214379,-97.5602012
Radford University,37.1374838,-80.5502298
Coastal Carolina University,33.7961194,-79.0136958
Pepperdine University,34.0414045,-118.7095814
Fordham University,40.8614567,-73.8852771
Oakland University,42.6678782,-83.2082347
Samford University,33.4649218,-86.7913423
Itawamba Community College,34.2748608,-88.4117772
The Massachusetts Institute of Technology,42.360091,-71.09416
Virginia Tech,37.2283843,-80.4234167
University of Georgia,33.9566656,-83.375192
Middle Tennessee State University,35.8486229,-86.3669155
Indiana University,39.1682449,-86.5230073
Colorado Mesa University,39.0804917,-108.5534074
Hope International University,33.876788,-117.8854268
University of Texas at Arlington,32.735687,-97.1080656
East Carolina University,35.6068806,-77.3665364
St. Bonaventure University,42.0785768,-78.4829439
"Evansville, Indiana",37.9715592,-87.5710898
Pomona-Pitzer Colleges,34.1042832,-117.7050738
Bryant University,41.9220919,-71.5377265
Michigan State University,42.701848,-84.4821719
University of Memphis,35.1187498,-89.9374928
Lock Haven University of Pennsylvania,41.1370133,-77.4469263
Cal State Bakersfield,35.3486641,-119.1033448
Lewis–Clark State College,46.4116044,-117.0256654
Niagara University,43.1369816,-79.0349955
University of Oklahoma,35.1987162,-97.4448963
Dartmouth College,43.7044406,-72.2886934
University of California,37.8702,122.2595
Kansas State University,39.1974437,-96.5847249
Southern Illinois University,37.7079717,-89.2229983
San Diego State University,32.7774047,-117.0714068
Adams State University,37.4742771,-105.8798507
Sacramento State,38.564761,-121.4276493
St. John's University,40.7201737,-73.7978908
Georgia Tech,33.7756178,-84.396285
Wichita State University,37.7191442,-97.2899421
Stetson University,29.0335139,-81.3009245
University of Mississippi,34.3647349,-89.5383818
Duke University,36.0014258,-78.9382286
Florida Atlantic University,26.3858316,-80.0973094
The University of North Carolina Wilmington,34.223874,-77.8696036
McLennan Community College,31.5889679,-97.1726265
West Virginia University,39.6480359,-79.9697147
Le Moyne College,43.0497018,-76.0855042
Grand Canyon University,33.5100339,-112.1288588
University of Illinois,40.1019523,-88.2271615
Illinois State University,40.5121009,-88.994763
University of Louisiana at Lafayette,30.211991,-92.019914
Texas A&M University–Corpus Christi,27.7123121,-97.3245739
"The University of Nevada, Las Vegas",36.107496,-115.1435252
University of Maine,44.901867,-68.6688251
Towson University,39.3925121,-76.6126392
Hofstra University,40.7166872,-73.5993965
Wallace State Community College,34.0709642,-86.7819812
Tulane University,29.9407282,-90.1203167
Crowder College,36.8143645,-94.3676015
Ohio State University,40.0066723,-83.0304546
University of North Florida ,30.2661204,-81.5072314
Tennessee Tech University,36.1763138,-85.5091086
Wright State University,39.7798542,-84.0651078
Wofford College,34.9590202,-81.9351358
John A. Logan College,37.7484016,-89.0911838
Mercyhurst University,42.1032921,-80.0531161
Mercer University,32.8284878,-83.6496991
Troy University,31.8025926,-85.9571615
Arizona State University,33.4242399,-111.9280527
Whitworth University,47.7548728,-117.4178623
University of North Carolina Greensboro,36.0689296,-79.8101976
Southern Nevada University,38.8026097,-116.419389
Saint Louis University,38.6348237,-90.2336408
Pittsburgh University,40.4443533,-79.960835
The University of New Orleans,30.0273134,-90.0680105
Grossmont College,32.8166735,-117.0065725
Rutgers University,40.5008,74.4474
Nova Southeastern University,26.0786011,-80.2457075
"California State University, Stanislaus",37.525398,-120.8554591
University of Central Arkansas,35.0780939,-92.4578916
Virginia Military Institute,37.7909313,-79.4351978
Northwestern State University,31.7489726,-93.097876
Liberty University,37.3492244,-79.1784123
University of Southern California,34.0223519,-118.285117
Santa Clara University,37.3489255,-121.9367804
"Miami University - Oxford, Ohio",39.5087485,-84.7344915
Elon University,36.1028244,-79.5023649
Cisco Junior College,32.4019284,-98.9840402
Canisius College,42.9237929,-78.8550954
Bucknell University,40.9547722,-76.8850759
George Mason University,38.8314578,-77.3117471
St. Thomas University,44.943096,-93.1897082
Seattle University,47.6091765,-122.3178465
Central Baptist College,35.0832302,-92.4450092
Lamar University,30.0392256,-94.0747071
University of Nebraska,41.4925374,-99.9018131
University of Cincinnati,39.1329219,-84.5149504
Carson-Newman University,36.1218768,-83.4906048
Saint Catharine College,51.7565758,-1.244571611
Purdue University,40.4237054,-86.9211946
Western Kentucky University,36.9847167,-86.456
Florida Southern College,28.0314545,-81.9450401
Baylor University,31.5500848,-97.11354
San Jacinto College: Central Campus,29.661672,-95.1148778
Ball State University,40.2079938,-85.4134775
Campbell University,35.408157,-78.7397718
Lehigh University,40.6048687,-75.3775187
Butler University,39.8405491,-86.1708927
Creighton University,41.2655521,-95.9463862
Shepherd University,39.4338337,-77.8044869
The United States Naval Academy,38.9836483,-76.482335
Boston College,42.3355488,-71.1684945
"The University of California, Santa Barbara",34.4139629,-119.848947
San Jose State University,37.3351874,-121.8810715
San Joaquin Delta College,37.9953671,-121.3195528
University of Nevada,39.5437205,-119.8141582
Florida International University,25.7562465,-80.3755401
Georgia State University,33.753068,-84.3852819
Wayne State University,42.3591388,-83.0665462
Penn State University,40.7982133,-77.8599084
Winthrop University,34.9394013,-81.031997
Brigham Young University ,40.2518435,-111.6493156
Eastern Kentucky University,37.7359731,-84.2987483
The University of Texas at San Antonio,29.4251905,-98.4945922
James Madison University ,38.435092,-78.8697548
Northwestern University,42.0564594,-87.675267
College of Charleston,32.7834441,-79.9370018
The George Washington University,38.8997145,-77.0485992
Miami Dade College,25.7767289,-80.1929987
Virginia Commonwealth University,37.5526695,-77.4527359
Indiana State University,39.4713985,-87.4082807
Yale University,41.3163244,-72.9223431
Ohio University,39.324358,-82.1013889
Texas State University,29.888411,-97.938351
Cowley College,37.061329,-97.0419074
Fresno City College,36.7669209,-119.7979063
Lincoln Memorial University,36.5773818,-83.6612854
West Texas A&M University,34.9816909,-101.9160329
Lubbock Christian University,33.5772191,-101.9347655
Mississippi Gulf Coast Community College,30.780579,-89.140474
Franklin Pierce University,42.7789743,-72.0555393
Antelope Valley College,34.6777643,-118.1876041
Harvard University,42.3744368,-71.118281
Eastern Illinois University,39.4835612,-88.1752184
Washington State University,46.7298283,-117.1745403
Golden West College,33.7339347,-118.0033108
Southeast Missouri State University,37.3148783,-89.5280438
Gardner-Webb University,35.2475249,-81.6706979
Purdue University Northwest,41.5808,87.4724
Bradley University,40.6977743,-89.6153484
Florida SouthWestern State College,26.5516108,-81.8892892
Quincy University,39.9405844,-91.3854387
University Of Hawaii,21.3008904,-157.8173481
Eastern Oklahoma State College,34.9134996,-95.3277088
Lee University,35.1657076,-84.869763
 Biola University,33.9062611,-118.0155533
University of South Carolina Upstate,34.9996102,-81.9711555
Florence-Darlington Technical College,34.2444216,-79.816067
Louisiana Tech University,32.5299582,-92.6522174
Angelo State University,31.4386537,-100.4598144
McNeese State University,30.1776851,-93.2152198
The University of British Columbia,49.2606052,-123.2459939
Eastern Michigan University,42.2506803,-83.624089
Rowan College South Jersey,39.7805687,-75.1226189
Azusa Pacific University,34.1300755,-117.8883593
University of San Francisco,37.7765643,-122.4507187
Quinnipiac University,41.4189262,-72.8936493
North Carolina Central University,35.9752487,-78.899654
Central Michigan University,43.5906616,-84.7755904
